model/parameters,eval/mean_reward,eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/extractor_type,rollout/success_rate,time/iterations,eval/seq_prediction_mse,time/time_elapsed,rollout/ep_rew_mean,eval/best_seq_prediction_mse,rollout/ep_len_mean,time/fps,train/std,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/clip_range_vf
,-192.15603637695312,0.1,1100000,253.2,,,,,,,,,,0.740818202495575,-4.256815433502197,0.5206866562366486,7.9454464e-05,0.0004970707159372978,132,0.0033157296,-0.03199473395943642,0.052032470703125,0.02182400255696848,0.17837312,0.2
,,,1114112,,,0.0,34,1.0650479435920714,2655,-238.23341369628906,,352.5,419,,,,,,,,,,,,
,-217.09823608398438,0.0,1120000,253.2,,,,,,,,,,0.740818202495575,-4.256815433502197,0.48404568433761597,7.8831872e-05,0.00018287440616404638,136,0.0035679585,-0.0277115311473608,0.04532623291015625,0.025561515998560935,0.17771776,0.2
,-209.96176147460938,0.0,1140000,148.5,,,,1.1351519525051117,,,,,,,,,,,,,,,,,
,,,1146880,,,0.0,35,1.1417494297027588,2735,-246.33468627929688,,346.97,419,,,,,,,,,,,,
,-225.37039184570312,0.0,1160000,258.4,,,,,,,,,,0.740818202495575,-4.256815433502197,0.49086469411849976,7.820928e-05,0.00017617694538785145,140,0.0030065263,-0.029971206560730934,0.048492431640625,0.02506388712208718,0.1770624,0.2
,,,1179648,,,0.03,36,1.078819477558136,2799,-231.88165283203125,,341.96,421,,,,,,,,,,,,
,-198.46914672851562,0.0,1180000,184.9,,,,,,,,,,0.740818202495575,-4.256815433502197,0.43206650018692017,7.7586688e-05,-0.0005304293990775477,144,0.0031419797,-0.02521846815943718,0.04193115234375,0.0258505922392942,0.17640704000000001,0.2
,-215.6752166748047,0.0,1200000,289.5,,,,1.1591102063655854,,,,,,,,,,,,,,,,,
,,,1212416,,,0.02,37,1.1891312658786775,2886,-240.41064453125,,344.85,419,,,,,,,,,,,,
,-205.56948852539062,0.0,1220000,146.3,,,,,,,,,,0.740818202495575,-4.256815433502197,0.48419153690338135,7.6964096e-05,0.00036524160532280803,148,0.003991242,-0.03145234286785126,0.0551605224609375,0.025219233008101583,0.17575168000000002,0.2
,-199.625244140625,0.0,1240000,250.2,,,,1.099753099679947,,,,,,,,,,,,,,,,,
,,,1245184,,,0.01,38,1.1906778275966645,2965,-244.0264129638672,,338.22,419,,,,,,,,,,,,
